engine,model,family,success,quality
cooksim,GPT-6 Astra,0,26.450450450450454,63.53256956760565
vhhome,GPT-6 Astra,0,15.800444890929965,34.49312535105977
screensim,GPT-6 Astra,0,90.37037037037037,75.50748445878315
overall,GPT-6 Astra,0,44.2070885705836,57.84439312581619
cooksim,Gemini 3.1 Pro,0,20.75869454262723,27.868200702670087
vhhome,Gemini 3.1 Pro,0,17.607294666118197,30.817112820155216
screensim,Gemini 3.1 Pro,0,86.29629629629629,79.60212969972633
overall,Gemini 3.1 Pro,0,41.55409516834724,46.09581440751722
cooksim,Gemini 3.8 Flash,0,30.592639954532537,53.39042297993697
vhhome,Gemini 3.8 Flash,0,21.369949494949495,46.23093994749436
screensim,Gemini 3.8 Flash,0,78.51851851851852,77.84729302441636
overall,Gemini 3.8 Flash,0,43.49370265600018,59.1562186506159
cooksim,Gemini 3.8 Live,1,11.924609413342251,39.86140279377962
vhhome,Gemini 3.8 Live,1,18.13320691623848,42.13901106672398
screensim,Gemini 3.8 Live,1,71.85185185185186,82.58233409054456
overall,Gemini 3.8 Live,1,33.96988939381087,54.86091598368272
cooksim,GPT-Realtime 2.1,1,21.164374208477753,49.5087545116553
vhhome,GPT-Realtime 2.1,1,18.965201465201464,37.05584326389172
screensim,GPT-Realtime 2.1,1,66.66666666666667,76.84038062570005
overall,GPT-Realtime 2.1,1,35.598747446781964,54.468326133749024
cooksim,Qwen3.8-27B,2,18.444444444444443,37.414872217873885
vhhome,Qwen3.8-27B,2,25.210578471448038,28.52760337868237
screensim,Qwen3.8-27B,2,67.77777777777779,81.9970408101982
overall,Qwen3.8-27B,2,37.144266897890084,49.313172135584814
cooksim,Molmo2-8B,2,13.418061897513953,11.637450188524097
vhhome,Molmo2-8B,2,2.564102564102564,16.971684487629865
screensim,Molmo2-8B,2,0.7407407407407408,15.68025315825699
overall,Molmo2-8B,2,5.574301734119086,14.763129278136985
cooksim,InternVideo3-8B,2,14.471290082028338,20.946133689853006
vhhome,InternVideo3-8B,2,18.233458791501644,18.447584479286295
screensim,InternVideo3-8B,2,0.3703703703703704,23.17819289385195
overall,InternVideo3-8B,2,11.025039747966785,20.857303687663748
cooksim,Kimi-VL-A3B-Thinking,2,15.247786359450451,5.737881441490019
vhhome,Kimi-VL-A3B-Thinking,2,24.344463308809658,11.955291513218903
screensim,Kimi-VL-A3B-Thinking,2,9.62962962962963,30.074283471108682
overall,Kimi-VL-A3B-Thinking,2,16.40729309929658,15.922485475272536
cooksim,Muse Glimmer,2,23.844696013596515,27.257680512277798
vhhome,Muse Glimmer,2,15.726495726495726,26.3913825259754
screensim,Muse Glimmer,2,44.074074074074076,54.76589353082139
overall,Muse Glimmer,2,27.881755271388773,36.13831885635819
cooksim,MiniCPM-o 4.5,3,13.677087591808796,14.57908364896018
vhhome,MiniCPM-o 4.5,3,15.421038471885929,16.212932100027317
screensim,MiniCPM-o 4.5,3,2.5925925925925926,31.347072346519756
overall,MiniCPM-o 4.5,3,10.563572885429105,20.713029365169085
cooksim,Qwen3-Omni-30B,3,26.222222222222225,25.411471881546564
vhhome,Qwen3-Omni-30B,3,13.395424836601308,30.200004999314313
screensim,Qwen3-Omni-30B,3,15.185185185185185,49.609635289721005
overall,Qwen3-Omni-30B,3,18.267610748002905,35.07370405686063
cooksim,Proact-VL,3,11.333333333333334,15.791966648036478
vhhome,Proact-VL,3,20.183015735029645,16.25101627918401
screensim,Proact-VL,3,0,12.402411525527526
overall,Proact-VL,3,10.505449689454325,14.81513148424934
cooksim,StreamingVLM,3,10.906785980611483,24.490408368384546
vhhome,StreamingVLM,3,19.01547859203258,23.433172144379
screensim,StreamingVLM,3,0,26.93187377690802
overall,StreamingVLM,3,9.974088190881353,24.95181809655719
